count,entries_name,entries_name_url,entries_agesOfCare,entries_phone,entries_phone_url,entries_email,entries_email_url,entries_address,entries_vacancies0to2,entries_vacancies2to6,entries_vacancies6to12,remove
1,(Gi) Kinaa'amaadiiwigamingoons Little Teaching Lodge Aboriginal Head Start,https://childcaresearch.gov.mb.ca/,Nursery/Preschool,(204) 729-0788,tel:(204) 729-0788,ltglodge@mymts.net,mailto:ltglodge@mymts.net,"205 College Avenue
Brandon, Manitoba
R7A 7E2",0,0,0,1
1,3 Little Kittens Home Daycare,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",,,3littlekittens@outlook.com,mailto:3littlekittens@outlook.com,"177 Thorn Drive
Winnipeg, Manitoba
R2P 2Z6",0,0,0,1
1,A to Z Child Care,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",,,Atozchildcare2020@gmail.com,mailto:Atozchildcare2020@gmail.com,"35 Crown Valley Road west
New Bothwell, Manitoba
R0A 1C0",0,0,0,1
1,Abi Family Childcare,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",,,Abi4childcare@gmail.com,mailto:Abi4childcare@gmail.com,"7 Myles Robinson Way
Winnipeg, Manitoba
R3X 1M6",0,0,3,1
1,Abiola Eseyin,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",,,giggleshomedaycare@outlook.com,mailto:giggleshomedaycare@outlook.com,"38 Eau-Claire
Winnipeg, Manitoba
R3X 0S7",0,0,0,1
1,Acorn Family Place Playroom,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool",(204) 560-3151,tel:(204) 560-3151,playroom@acornfamilyplace.ca,mailto:playroom@acornfamilyplace.ca,"205-222 Furby Street
Winnipeg, Manitoba
R3C 2A7",0,0,0,1
1,Action Centre Day Nursery Inc.,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",(204) 582-1903,tel:(204) 582-1903,ben.action@shawbiz.ca,mailto:ben.action@shawbiz.ca,"377 Dufferin Avenue
Winnipeg, Manitoba
R2W 2Y2",0,0,0,1
1,Adams Family Daycare,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",(204) 583-0654,tel:(204) 583-0654,aadams21@live.com,mailto:aadams21@live.com,"103 Goldstone Road
St. Andrews, Manitoba
R1A 3B5",0,0,0,1
1,Adelle Kennedy,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",(204) 269-0183,tel:(204) 269-0183,,,"2 Baldry Bay
Winnipeg, Manitoba
R3T 3C4",0,0,0,1
1,Adorable Child Care,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",,,adorable4family@gmail.com,mailto:adorable4family@gmail.com,"11 Manipogo Bay
Winnipeg, Manitoba
R3Y 0R6",0,0,0,1
1,Advantage Child Care Academy - McGillivray,https://childcaresearch.gov.mb.ca/,Nursery/Preschool,(204) 885-1709,tel:(204) 885-1709,hdhanjal@advantagechildcareacademy.ca,mailto:hdhanjal@advantagechildcareacademy.ca,"Unit 2 - 4 High Level Road
Oak Bluff, Manitoba
R4G 0E2",0,2,0,1
1,Advantage Child Care Academy Inc.,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",,,hdhanjal@advantagechildcareacademy.ca,mailto:hdhanjal@advantagechildcareacademy.ca,"51 Scurfield Boulevard
Winnipeg, Manitoba
R3Y 1G4",0,0,2,1
1,Afshan Noreen,https://childcaresearch.gov.mb.ca/,"Infant, Nursery/Preschool, School Age",(431) 999-8974,tel:(431) 999-8974,,,"183 Goldthorpe Crescent
Winnipeg, Manitoba
R2N 3B7",0,0,0,1
1,Agassiz Child Care Centre Inc.,https://childcaresearch.gov.mb.ca/,"Nursery/Preschool, School Age",(204) 269-3779,tel:(204) 269-3779,agassizchildcare@mts.net,mailto:agassizchildcare@mts.net,"131 Leach Street
Winnipeg, Manitoba
R3T 5W6",0,0,0,1
